板块,平均价格（元/月）
三岔路,1248.344155844156
三闾,1282.3696098562627
五强溪,1214.4444444444443
北站,1406.2848484848485
合兴景苑,1042.857142857143
地区医院,1335.042042042042
宏大,1471.0344827586207
德山,955.3177570093458
德馨园,1000.0
文理学院,1449.4736842105262
柳叶湖,1798.525641025641
桃源县,1500.0
桥南,1201.2080536912752
步行街,1384.2342342342342
汉寿县,1349.6666666666667
滨湖公园,1558.5276073619632
澧县,1159.5
火车站,1612.0077319587629
甘露寺,1399.179190751445
白马湖,1967.9003021148037
紫桥,1231.196261682243
芷兰,1846.1778846153845
高山街,1521.851851851852
鸿升,1526.2264150943397
鼎城区灌溪,1150.0
